Pair,ClosePrice,CloseTime,QuoteAssetVolume
OPUSDT,1.285,1694476799999,27641381.16231
OPUSDT,1.336,1694563199999,39577579.04301
OPUSDT,1.35,1694649599999,23666102.03239
OPUSDT,1.356,1694735999999,18541090.76385
OPUSDT,1.405,1694822399999,30016181.73746
OPUSDT,1.393,1694908799999,18462583.10182
OPUSDT,1.372,1694995199999,14394865.43981
OPUSDT,1.368,1695081599999,22855230.30187
OPUSDT,1.381,1695167999999,17203404.50835
OPUSDT,1.39,1695254399999,19952383.13155
OPUSDT,1.296,1695340799999,26843114.90329
OPUSDT,1.292,1695427199999,15619306.04418
OPUSDT,1.299,1695513599999,8316472.32032
OPUSDT,1.263,1695599999999,8221775.06684
OPUSDT,1.249,1695686399999,13162025.20629
OPUSDT,1.288,1695772799999,11644223.1431
OPUSDT,1.272,1695859199999,16901169.02661
OPUSDT,1.324,1695945599999,19050147.93771
OPUSDT,1.336,1696031999999,13059392.92324
OPUSDT,1.345,1696118399999,12943676.04985
OPUSDT,1.65,1690934399999,46823407.30371
OPUSDT,1.638,1691020799999,47560709.93
OPUSDT,1.714,1691107199999,72353653.38332
OPUSDT,1.687,1691193599999,40997754.11803
OPUSDT,1.69,1691279999999,24432831.37551
OPUSDT,1.702,1691366399999,18615547.72881
OPUSDT,1.798,1691452799999,53803447.33898
OPUSDT,1.68,1691539199999,67947378.28704
OPUSDT,1.551,1691625599999,59554212.33767
OPUSDT,1.58,1691711999999,29293165.35705
OPUSDT,1.589,1691798399999,19232765.23877
OPUSDT,1.551,1691884799999,15708085.82485
OPUSDT,1.54,1691971199999,13228800.48797
OPUSDT,1.53,1692057599999,20731448.71117
OPUSDT,1.47,1692143999999,30987253.54027
OPUSDT,1.411,1692230399999,39991160.04061
OPUSDT,1.365,1692316799999,59629574.75487
OPUSDT,1.44,1692403199999,53785151.40084
OPUSDT,1.474,1692489599999,21994587.88819
OPUSDT,1.473,1692575999999,14530019.0345
OPUSDT,1.528,1692662399999,41277495.86053
OPUSDT,1.576,1692748799999,47398146.60149
OPUSDT,1.562,1692835199999,31313175.83915
OPUSDT,1.586,1692921599999,25270526.72482
OPUSDT,1.468,1693007999999,42339954.36386
OPUSDT,1.481,1693094399999,13277854.42702
OPUSDT,1.453,1693180799999,14810380.24323
OPUSDT,1.423,1693267199999,20474758.93121
OPUSDT,1.495,1693353599999,43089586.43904
OPUSDT,1.482,1693439999999,20592289.38679
OPUSDT,1.393,1693526399999,26429319.02131
OPUSDT,3.99,1704153599999,144053947.87947
OPUSDT,3.711,1704239999999,132474646.77876
OPUSDT,3.475,1704326399999,287154417.00868
OPUSDT,3.714,1704412799999,177913150.80699
OPUSDT,3.444,1704499199999,130895523.80841
OPUSDT,3.225,1704585599999,84313584.75722
OPUSDT,3.171,1704671999999,80299605.6735
OPUSDT,3.414,1704758399999,123768562.81013
OPUSDT,3.641,1704844799999,147377827.17022
OPUSDT,3.932,1704931199999,253237534.28519
OPUSDT,3.966,1705017599999,194712165.07088
OPUSDT,3.913,1705103999999,277581106.9318
OPUSDT,3.805,1705190399999,90242466.86488
OPUSDT,3.479,1705276799999,59541849.841
OPUSDT,3.452,1705363199999,81530455.74708
OPUSDT,3.602,1705449599999,67858351.72162
OPUSDT,3.457,1705535999999,62267631.58987
OPUSDT,3.215,1705622399999,66270925.21334
OPUSDT,3.204,1705708799999,92757269.39962
OPUSDT,3.196,1705795199999,40200858.61945
OPUSDT,3.119,1705881599999,29025240.89139
OPUSDT,2.981,1705967999999,77002545.8277
OPUSDT,2.821,1706054399999,124734630.79642
OPUSDT,2.857,1706140799999,45894072.67267
OPUSDT,2.937,1706227199999,47184000.68859
OPUSDT,3.069,1706313599999,71868524.02998
OPUSDT,3.068,1706399999999,29217966.14408
OPUSDT,3.029,1706486399999,46477343.69145
OPUSDT,3.168,1706572799999,49628563.79319
OPUSDT,3.157,1706659199999,83894582.48794
OPUSDT,2.901,1706745599999,64726417.30878
OPUSDT,2.797,1714607999999,160599942.6271
OPUSDT,2.873,1714694399999,91545791.64324
OPUSDT,2.858,1714780799999,71784387.28581
OPUSDT,2.88,1714867199999,59514252.68312
OPUSDT,2.901,1714953599999,45232000.46893
OPUSDT,2.768,1715039999999,42992164.3641
OPUSDT,2.666,1715126399999,38232944.10123
OPUSDT,2.58,1715212799999,31873116.96806
OPUSDT,2.653,1715299199999,20076551.04894
OPUSDT,2.519,1715385599999,26718056.76582
OPUSDT,2.535,1715471999999,15158070.96664
OPUSDT,2.523,1715558399999,9736144.11916
OPUSDT,2.495,1715644799999,26841592.62536
